Cantidad_Llamadas;Duracion_Llamadas_minutos;nro_cliente;mes;tipo_llamada
1;1014;4177;1;Saliente
1;31;4185;1;Saliente
4;2859;4202;1;Saliente
1;30;4202;1;Saliente
2;218;4202;1;Saliente
1;883;4202;1;Saliente
4;331;4209;1;Saliente
1;735;4209;1;Saliente
1;30;4220;1;Saliente
3;90;4234;1;Saliente
5;1906;4248;1;Saliente
19;8193;4248;1;Saliente
1;300;4275;1;Saliente
1;178;4275;1;Saliente
1;53;4282;1;Saliente
1;30;4296;1;Saliente
2;60;4308;1;Saliente
3;167;4308;1;Saliente
1;340;4327;1;Saliente
5;583;4403;1;Saliente
1;34;4460;1;Saliente
1;30;4460;1;Saliente
2;78;4477;1;Saliente
6;392;4488;1;Saliente
1;180;4512;1;Saliente
1;285;4520;1;Saliente
2;68;4534;1;Saliente
1;30;4539;1;Saliente
1;30;4568;1;Saliente
1;30;4597;1;Saliente
3;90;4597;1;Saliente
1;40;4609;1;Saliente
1;30;4617;1;Saliente
2;219;4617;1;Saliente
1;55;4624;1;Saliente
1;38;4677;1;Saliente
10;435;4677;1;Saliente
5;473;4677;1;Saliente
3;138;4687;1;Saliente
1;30;4687;1;Saliente
1;70;4687;1;Saliente
2;60;4715;1;Saliente
1;286;4741;1;Saliente
1;118;4756;1;Saliente
1;30;4768;1;Saliente
1;30;4768;1;Saliente
1;49;4777;1;Saliente
1;396;4777;1;Saliente
1;35;4813;1;Saliente
33;2317;4813;1;Saliente
2;60;4815;1;Saliente
1;78;4815;1;Saliente
1;416;4856;1;Saliente
1;115;4856;1;Saliente
2;60;4857;1;Saliente
1;30;4857;1;Saliente
3;90;4870;1;Saliente
2;222;4876;1;Saliente
1;30;4879;1;Saliente
1;532;4886;1;Saliente
1;238;4886;1;Saliente
1;30;4895;1;Saliente
3;349;4895;1;Saliente
1;30;4895;1;Saliente
9;271;4895;1;Saliente
2;60;4895;1;Saliente
2;71;4895;1;Saliente
1;105;4895;1;Saliente
1;30;4895;1;Saliente
2;265;4895;1;Saliente
6;180;4920;1;Saliente
1;30;4920;1;Saliente
1;30;4940;1;Saliente
2;60;4970;1;Saliente
1;435;4982;1;Saliente
1;863;5040;1;Saliente
1;83;5076;1;Saliente
1;246;5098;1;Saliente
2;76;5113;1;Saliente
2;92;5113;1;Saliente
5;199;5113;1;Saliente
15;3610;5117;1;Saliente
1;136;5117;1;Saliente
2;321;5117;1;Saliente
1;30;5130;1;Saliente
1;30;5130;1;Saliente
8;403;5130;1;Saliente
1;54;5130;1;Saliente
16;2328;5173;1;Saliente
1;30;5173;1;Saliente
10;1061;5173;1;Saliente
5;150;5207;1;Saliente
1;30;5232;1;Saliente
4;255;5232;1;Saliente
1;47;5232;1;Saliente
1;102;5232;1;Saliente
4;405;5253;1;Saliente
1;77;5253;1;Saliente
1;48;5253;1;Saliente
1;94;5271;1;Saliente
1;30;5271;1;Saliente
2;68;5271;1;Saliente
1;72;5278;1;Saliente
2;60;5278;1;Saliente
8;350;5278;1;Saliente
1;30;5278;1;Saliente
1;135;5281;1;Saliente
1;30;5290;1;Saliente
2;80;5290;1;Saliente
1;133;5290;1;Saliente
1;168;5290;1;Saliente
1;30;5301;1;Saliente
6;180;5306;1;Saliente
2;152;5306;1;Saliente
1;100;5306;1;Saliente
1;30;5368;1;Saliente
4;284;5378;1;Saliente
1;88;5378;1;Saliente
5;583;5378;1;Saliente
1;372;5378;1;Saliente
1;30;5381;1;Saliente
1;30;5381;1;Saliente
1;30;5381;1;Saliente
1;30;5402;1;Saliente
9;457;5402;1;Saliente
1;1000;5402;1;Saliente
3;92;5402;1;Saliente
3;526;5402;1;Saliente
2;60;5405;1;Saliente
1;30;5405;1;Saliente
1;652;5405;1;Saliente
2;74;5418;1;Saliente
2;486;5418;1;Saliente
4;1100;5418;1;Saliente
2;401;5418;1;Saliente
1;30;5418;1;Saliente
2;60;5418;1;Saliente
9;471;5418;1;Saliente
1;30;5454;1;Saliente
1;49;5481;1;Saliente
1;35;5481;1;Saliente
2;68;5481;1;Saliente
